,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,
Occupant of pick-up truck or van injured in collision with railway train or railway vehicle (V55),0,0,0,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Occupant of pick-up truck or van injured in collision with other nonmotor vehicle (V56),0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,2,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Occupant of pick-up truck or van injured in collision with fixed or stationary object (V57),15,4,19,,28,1,29,,4,0,4,,1,0,1,,3,1,4,,0,0,0,,4,0,4,,2,0,2,,8,0,8,,1,0,1,,3,0,3
Occupant of pick-up truck or van injured in noncollision transport accident (V58),11,4,15,,19,3,22,,4,2,6,,1,0,1,,0,1,1,,0,0,0,,0,1,1,,3,1,4,,2,0,2,,2,2,4,,1,0,1
Occupant of pick-up truck or van injured in other and unspecified transport accidents (V59),0,0,0,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Occupant of heavy transport vehicle injured in transport accident (V60-V69),48,1,49,,44,1,45,,26,5,31,,31,0,31,,37,1,38,,20,0,20,,30,2,32,,32,1,33,,28,4,32,,29,1,30,,31,2,33
Occupant of heavy transport vehicle injured in collision with pedestrian or animal (V60),1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,2,0,2
Occupant of heavy transport vehicle injured in collision with pedal cycle (V61),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle (V62),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van (V63)",3,0,3,,4,0,4,,1,2,3,,2,0,2,,5,0,5,,2,0,2,,2,1,3,,7,0,7,,5,0,5,,1,1,2,,3,0,3
Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus (V64),11,0,11,,10,0,10,,6,2,8,,8,0,8,,7,0,7,,6,0,6,,6,0,6,,5,0,5,,8,1,9,,5,0,5,,8,1,9
Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle (V65),1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,0,0
Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle (V66),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0
Occupant of heavy transport vehicle injured in collision with fixed or stationary object (V67),17,0,17,,8,1,9,,14,1,15,,10,0,10,,12,1,13,,6,0,6,,14,1,15,,12,0,12,,8,1,9,,11,0,11,,12,0,12
Occupant of heavy transport vehicle injured in noncollision transport accident (V68),12,1,13,,20,0,20,,3,0,3,,8,0,8,,11,0,11,,5,0,5,,8,0,8,,7,1,8,,6,2,8,,10,0,10,,6,1,7
Occupant of heavy transport vehicle injured in other and unspecified transport accidents (V69),3,0,3,,2,0,2,,2,0,2,,2,0,2,,2,0,2,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Bus occupant injured in transport accident (V70-V79),2,2,4,,3,3,6,,3,0,3,,1,1,2,,2,0,2,,0,0,0,,2,2,4,,3,0,3,,3,1,4,,6,5,11,,1,1,2
Bus occupant injured in collision with pedestrian or animal (V70),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Bus occupant injured in collision with pedal cycle (V71),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Bus occupant injured in collision with two- or three-wheeled motor vehicle (V72),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Bus occupant injured in collision with car, pick-up truck or van (V73)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,2,3,,0,0,0
Bus occupant injured in collision with heavy transport vehicle or bus (V74),0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,4,0,4,,0,0,0
Bus occupant injured in collision with railway train or railway vehicle (V75),1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Bus occupant injured in collision with other nonmotor vehicle (V76),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0
Bus occupant injured in collision with fixed or stationary object (V77),0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,2,,2,0,2,,0,0,0,,0,1,1,,0,0,0
Bus occupant injured in noncollision transport accident (V78),1,2,3,,2,3,5,,2,0,2,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,1,0,1,,1,1,2,,1,2,3,,1,1,2
Bus occupant injured in other and unspecified transport accidents (V79),0,0,0,,0,0,0,,1,0,1,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Other land transport accidents (V80-V89),45,12,57,,64,17,81,,54,20,74,,73,29,102,,48,18,66,,79,22,101,,68,15,83,,52,10,62,,49,10,59,,57,17,74,,37,5,42
Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),3,2,5,,4,1,5,,4,1,5,,6,4,10,,2,2,4,,7,9,16,,3,6,9,,3,4,7,,4,4,8,,3,6,9,,2,1,3
Occupant of railway train or railway vehicle injured in transport accident (V81),2,0,2,,1,0,1,,0,0,0,,0,1,1,,3,0,3,,1,0,1,,3,0,3,,0,0,0,,0,0,0,,0,0,0,,1,0,1
Occupant of streetcar injured in transport accident (V82),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0
Occupant of special vehicle mainly used on industrial premises injured in transport accident (V83),6,2,8,,7,0,7,,1,0,1,,3,0,3,,2,0,2,,9,0,9,,8,0,8,,4,0,4,,3,0,3,,3,0,3,,4,0,4
Occupant of special vehicle mainly used in agriculture injured in transport accident (V84),13,0,13,,15,0,15,,13,3,16,,8,4,12,,11,1,12,,16,1,17,,15,1,16,,15,1,16,,20,2,22,,18,2,20,,9,0,9
Occupant of special construction vehicle injured in transport accident (V85),6,0,6,,4,0,4,,5,0,5,,6,0,6,,2,0,2,,3,0,3,,2,0,2,,5,0,5,,5,0,5,,5,0,5,,3,0,3
"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident (V86)",6,2,8,,15,4,19,,6,1,7,,21,3,24,,11,7,18,,16,7,23,,15,1,16,,22,3,25,,13,1,14,,10,1,11,,10,2,12
Traffic accident of specified type but victim's mode of transport unknown (V87),2,1,3,,0,0,0,,0,1,1,,1,1,2,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Nontraffic accident of specified type but victim's mode of transport unknown (V88),0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,1,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified (V89)",7,5,12,,17,12,29,,25,14,39,,27,16,43,,16,7,23,,26,5,31,,21,7,28,,3,2,5,,3,3,6,,18,8,26,,8,2,10
Water transport accidents (V90-V94),31,7,38,,42,9,51,,74,22,96,,42,8,50,,54,4,58,,49,6,55,,34,2,36,,38,3,41,,41,6,47,,32,5,37,,20,3,23
Accident to watercraft causing drowning and submersion (V90),9,1,10,,26,5,31,,47,22,69,,17,5,22,,32,2,34,,16,3,19,,11,0,11,,20,0,20,,20,3,23,,17,1,18,,12,3,15
Accident to watercraft causing other injury (V91),8,5,13,,0,1,1,,6,0,6,,1,1,2,,2,0,2,,5,0,5,,6,1,7,,2,1,3,,6,2,8,,2,2,4,,2,0,2
Water-transport-related drowning and submersion without accident to watercraft (V92),7,1,8,,10,2,12,,15,0,15,,13,2,15,,17,2,19,,17,1,18,,11,0,11,,13,0,13,,13,1,14,,12,2,14,,6,0,6
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion (V93)",4,0,4,,1,0,1,,1,0,1,,4,0,4,,0,0,0,,2,1,3,,3,1,4,,0,1,1,,1,0,1,,0,0,0,,0,0,0
Other and unspecified water transport accidents (V94),3,0,3,,5,1,6,,5,0,5,,7,0,7,,3,0,3,,9,1,10,,3,0,3,,3,1,4,,1,0,1,,1,0,1,,0,0,0
Air and space transport accidents (V95-V97),34,9,43,,30,1,31,,21,3,24,,37,7,44,,41,5,46,,42,7,49,,26,4,30,,31,5,36,,19,1,20,,38,9,47,,16,3,19
Accident to powered aircraft causing injury to occupant (V95),32,9,41,,23,1,24,,19,2,21,,32,7,39,,33,5,38,,33,6,39,,23,4,27,,23,4,27,,16,1,17,,27,7,34,,12,3,15
Accident to nonpowered aircraft causing injury to occupant (V96),1,0,1,,2,0,2,,2,0,2,,4,0,4,,2,0,2,,5,1,6,,2,0,2,,4,0,4,,2,0,2,,6,1,7,,3,0,3
Other specified air transport accidents (V97),1,0,1,,5,0,5,,0,1,1,,1,0,1,,6,0,6,,4,0,4,,1,0,1,,4,1,5,,1,0,1,,5,1,6,,1,0,1
Other and unspecified transport accidents (V98-V99),1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,2,0,2,,1,0,1,,1,0,1,,2,1,3,,1,1,2
Other specified transport accidents (V98),1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,2,0,2,,0,0,0,,0,0,0,,0,0,0,,1,1,2
Unspecified transport accident (V99),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,2,1,3,,0,0,0
Other external causes of accidental injury (W00-X59),"2,116","1,629","3,745",,"2,356","1,735","4,091",,"2,188","1,789","3,977",,"2,392","1,904","4,296",,"2,367","2,032","4,399",,"2,399","2,065","4,464",,"2,723","2,263","4,986",,"2,898","2,433","5,331",,"3,141","2,561","5,702",,"3,018","2,565","5,583",,"2,925","2,399","5,324"
Falls (W00-W19),691,735,"1,426",,765,715,"1,480",,800,907,"1,707",,889,949,"1,838",,971,1083,"2,054",,996,1100,"2,096",,1119,1235,"2,354",,1189,"1,350","2,539",,1322,"1,426","2,748",,"1,333","1,474","2,807",,"1,328","1,422","2,750"
Fall on same level involving ice and snow (W00),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
"Fall on same level from slipping, tripping and stumbling (W01)",213,228,441,,257,274,531,,204,246,450,,325,378,703,,263,323,586,,173,194,367,,113,104,217,,180,198,378,,160,186,346,,147,184,331,,153,161,314
"Fall involving ice-skates, skis, roller-skates or skateboards (W02)",4,0,4,,0,0,0,,2,0,2,,1,0,1,,3,0,3,,0,0,0,,1,0,1,,5,0,5,,3,1,4,,2,0,2,,0,1,1
"Other fall on same level due to collision with, or pushing by, another person (W03)",1,1,2,,2,0,2,,0,2,2,,1,1,2,,1,2,3,,2,0,2,,0,1,1,,1,2,3,,4,1,5,,5,1,6,,2,4,6
Fall while being carried or supported by other persons (W04),0,2,2,,1,0,1,,0,0,0,,1,2,3,,1,1,2,,0,1,1,,0,0,0,,1,1,2,,1,1,2,,3,2,5,,0,2,2
Fall involving wheelchair (W05),3,6,9,,4,6,10,,6,5,11,,7,7,14,,3,8,11,,4,4,8,,2,8,10,,3,7,10,,5,6,11,,5,7,12,,8,9,17
Fall involving bed (W06),10,19,29,,19,13,32,,22,29,51,,30,32,62,,28,34,62,,21,27,48,,26,36,62,,34,42,76,,33,36,69,,39,37,76,,38,39,77
Fall involving chair (W07),9,8,17,,9,12,21,,10,8,18,,13,14,27,,16,21,37,,14,17,31,,17,13,30,,19,18,37,,24,22,46,,12,18,30,,17,20,37
Fall involving other furniture (W08),8,3,11,,2,5,7,,0,3,3,,1,1,2,,2,1,3,,1,5,6,,4,2,6,,2,4,6,,1,3,4,,4,2,6,,5,2,7
Fall involving playground equipment (W09),1,0,1,,0,0,0,,1,0,1,,1,0,1,,0,1,1,,0,0,0,,0,1,1,,1,1,2,,1,0,1,,0,0,0,,0,0,0
Fall on and from stairs and steps (W10),35,25,60,,49,13,62,,28,18,46,,41,23,64,,28,25,53,,38,33,71,,37,32,69,,39,24,63,,54,27,81,,47,27,74,,44,30,74
Fall on and from ladder (W11),24,3,27,,12,1,13,,27,2,29,,28,4,32,,26,0,26,,20,3,23,,26,5,31,,21,1,22,,18,1,19,,19,2,21,,20,2,22
Fall on and from scaffolding (W12),4,0,4,,1,0,1,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,3,1,4,,0,0,0,,0,0,0
"Fall from, out of or through building or structure (W13)",44,8,52,,42,5,47,,30,9,39,,41,5,46,,48,4,52,,40,2,42,,41,4,45,,30,6,36,,38,6,44,,38,2,40,,33,0,33
Fall from tree (W14),0,0,0,,4,0,4,,0,0,0,,0,0,0,,4,0,4,,1,0,1,,2,0,2,,1,0,1,,2,0,2,,3,0,3,,0,0,0
Fall from cliff (W15),6,3,9,,14,2,16,,15,1,16,,7,1,8,,7,1,8,,16,3,19,,10,3,13,,9,1,10,,11,3,14,,6,3,9,,8,1,9
Diving or jumping into water causing injury other than drowning or submersion (W16),1,0,1,,2,0,2,,2,0,2,,1,0,1,,1,0,1,,4,2,6,,5,1,6,,1,0,1,,3,0,3,,2,0,2,,2,1,3
Other fall from one level to another (W17),3,0,3,,8,6,14,,8,2,10,,6,0,6,,12,2,14,,15,0,15,,8,0,8,,15,4,19,,9,4,13,,10,1,11,,4,3,7
Other fall on same level (W18),12,16,28,,6,16,22,,14,13,27,,22,19,41,,20,23,43,,11,21,32,,13,11,24,,6,7,13,,19,15,34,,12,14,26,,20,20,40
Unspecified fall (W19),313,413,726,,333,362,695,,430,569,999,,361,462,823,,508,637,1145,,636,788,1424,,813,1014,1827,,820,1034,"1,854",,933,1113,"2,046",,979,1174,"2,153",,974,"1,127","2,101"
Exposure to inanimate mechanical forces (W20-W49),92,8,100,,63,13,76,,78,13,91,,74,9,83,,77,11,88,,75,17,92,,88,11,99,,92,9,101,,83,11,94,,65,14,79,,66,9,75
"Struck by thrown, projected or falling object (W20)",27,3,30,,20,5,25,,17,3,20,,26,0,26,,22,2,24,,30,9,39,,21,4,25,,27,1,28,,33,5,38,,21,3,24,,17,1,18
Striking against or struck by sports equipment (W21),0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,1,1,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0
Striking against or struck by other objects (W22),2,0,2,,3,5,8,,8,2,10,,4,4,8,,2,0,2,,1,4,5,,4,2,6,,7,3,10,,1,2,3,,2,0,2,,1,1,2
"Caught, crushed, jammed or pinched in or between objects (W23)",21,1,22,,12,3,15,,9,3,12,,14,0,14,,7,0,7,,10,0,10,,35,1,36,,16,0,16,,13,0,13,,19,2,21,,15,2,17
"Contact with lifting and transmission devices, not elsewhere classified (W24)",5,0,5,,3,0,3,,3,1,4,,2,0,2,,11,0,11,,5,1,6,,1,0,1,,1,0,1,,1,0,1,,2,0,2,,3,0,3
Contact with sharp glass (W25),3,1,4,,3,0,3,,4,0,4,,4,1,5,,5,1,6,,5,1,6,,4,0,4,,3,1,4,,4,1,5,,1,2,3,,1,0,1
"Contact with knife, sword or dagger (W26)",0,1,1,,0,0,0,,1,1,2,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,0,0,0,,0,0,0
Contact with nonpowered hand tool (W27),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,1,1,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1
Contact with powered lawnmower (W28),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Contact with other powered hand tools and household machinery (W29),3,0,3,,2,0,2,,3,0,3,,0,0,0,,2,0,2,,1,0,1,,3,0,3,,3,0,3,,3,0,3,,4,1,5,,4,1,5
Contact with agricultural machinery (W30),4,1,5,,1,0,1,,1,0,1,,3,0,3,,6,0,6,,3,0,3,,2,0,2,,3,0,3,,3,0,3,,0,1,1,,2,0,2
Contact with other and unspecified machinery (W31),7,0,7,,9,0,9,,9,0,9,,6,0,6,,3,1,4,,12,0,12,,2,1,3,,13,0,13,,11,3,14,,8,0,8,,13,0,13
Handgun discharge (W32),1,0,1,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,0,1,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
"Rifle, shotgun and larger firearm discharge (W33)",3,0,3,,5,0,5,,9,0,9,,6,0,6,,3,0,3,,2,0,2,,2,1,3,,2,0,2,,3,0,3,,2,1,3,,1,0,1
Discharge from other and unspecified firearms (W34),2,0,2,,1,0,1,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Explosion and rupture of boiler (W35),0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Explosion and rupture of gas cylinder (W36),0,0,0,,1,0,1,,2,0,2,,2,0,2,,2,0,2,,1,0,1,,1,0,1,,3,3,6,,2,0,2,,0,0,0,,1,0,1
"Explosion and rupture of pressurized tyre, pipe or hose (W37)",1,0,1,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,2,0,2,,2,0,2,,0,0,0,,1,0,1,,0,0,0
Explosion and rupture of other specified pressurized devices (W38),4,0,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1
Discharge of firework (W39),0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,0,0,0
Explosion of other materials (W40),2,0,2,,0,0,0,,5,0,5,,2,0,2,,2,1,3,,2,0,2,,7,0,7,,7,0,7,,3,0,3,,0,1,1,,2,0,2
Exposure to high-pressure jet (W41),0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Exposure to noise (W42),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Exposure to vibration (W43),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Foreign body entering into or through eye or natural orifice (W44),3,1,4,,0,0,0,,1,1,2,,2,1,3,,2,1,3,,1,0,1,,1,0,1,,1,1,2,,1,0,1,,0,0,0,,1,2,3
Foreign body or object entering through skin (W45),0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,3,5,,0,0,0,,1,1,2,,1,0,1,,0,0,0,,1,0,1,,1,1,2
Contact with hypodermic needle (W46),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,2,2,4,,0,0,0
Exposure to other and unspecified inanimate mechanical forces (W49),4,0,4,,3,0,3,,3,2,5,,1,0,1,,2,1,3,,1,0,1,,1,1,2,,0,0,0,,1,0,1,,1,1,2,,2,1,3
Exposure to animate mechanical forces (W50-W64),10,2,12,,14,3,17,,10,3,13,,21,8,29,,15,4,19,,13,4,17,,14,6,20,,16,3,19,,18,8,26,,9,7,16,,7,8,15
"Hit, struck, kicked, twisted, bitten or scratched by another person (W50)",2,0,2,,5,1,6,,2,0,2,,2,3,5,,1,0,1,,3,1,4,,3,3,6,,4,0,4,,6,0,6,,0,2,2,,1,1,2
Striking against or bumped into by another person (W51),2,0,2,,1,0,1,,1,0,1,,3,0,3,,1,0,1,,1,0,1,,1,0,1,,3,0,3,,1,1,2,,1,0,1,,1,1,2
"Crushed, pushed or stepped on by crowd or human stampede (W52)",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Bitten by rat (W53),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
Bitten or struck by dog (W54),1,0,1,,0,1,1,,1,0,1,,1,1,2,,1,0,1,,4,1,5,,1,1,2,,1,1,2,,1,1,2,,0,3,3,,0,3,3
Bitten or struck by other mammals (W55),2,2,4,,5,0,5,,5,2,7,,5,3,8,,8,3,11,,2,2,4,,0,1,1,,4,1,5,,7,3,10,,3,1,4,,3,3,6
Contact with marine animal (W56),2,0,2,,0,0,0,,1,0,1,,5,0,5,,2,0,2,,2,0,2,,4,1,5,,2,0,2,,2,1,3,,1,1,2,,2,0,2
Bitten or stung by nonvenomous insect and other nonvenomous arthropods (W57),0,0,0,,1,0,1,,0,1,1,,1,1,2,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,1,0,1,,0,0,0
Bitten or struck by crocodile or alligator (W58),1,0,1,,2,1,3,,0,0,0,,3,0,3,,1,1,2,,1,0,1,,4,0,4,,0,0,0,,0,1,1,,2,0,2,,0,0,0
Bitten or crushed by other reptiles (W59),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Contact with plant thorns and spines and sharp leaves (W60),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0
Exposure to other and unspecified animate mechanical forces (W64),0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,1,0,1,,0,0,0,,0,0,0
Accidental drowning and submersion (W65-W74),139,41,180,,148,49,197,,158,50,208,,140,32,172,,161,46,207,,164,45,209,,154,41,195,,140,44,184,,159,49,208,,108,39,147,,101,35,136
Drowning and submersion while in bath-tub (W65),2,4,6,,4,11,15,,7,3,10,,5,2,7,,4,7,11,,7,7,14,,5,7,12,,3,4,7,,5,8,13,,6,5,11,,4,5,9
Drowning and submersion following fall into bath-tub (W66),0,1,1,,1,1,2,,2,0,2,,1,3,4,,2,0,2,,1,1,2,,2,1,3,,0,3,3,,1,1,2,,1,0,1,,0,1,1
Drowning and submersion while in swimming-pool (W67),13,8,21,,15,13,28,,15,9,24,,9,2,11,,14,7,21,,15,3,18,,14,6,20,,17,3,20,,15,7,22,,6,9,15,,10,2,12
Drowning and submersion following fall into swimming-pool (W68),8,9,17,,8,2,10,,11,7,18,,8,3,11,,10,6,16,,9,11,20,,10,5,15,,11,9,20,,13,12,25,,9,9,18,,10,8,18
Drowning and submersion while in natural water (W69),55,7,62,,78,14,92,,80,16,96,,69,11,80,,85,14,99,,83,12,95,,69,15,84,,63,13,76,,85,16,101,,51,10,61,,55,11,66
Drowning and submersion following fall into natural water (W70),29,4,33,,24,5,29,,23,8,31,,33,8,41,,27,6,33,,31,8,39,,41,5,46,,32,8,40,,32,2,34,,22,4,26,,15,4,19
Other specified drowning and submersion (W73),8,4,12,,3,0,3,,11,6,17,,9,2,11,,6,5,11,,8,2,10,,8,1,9,,5,3,8,,7,1,8,,5,0,5,,3,3,6
Unspecified drowning and submersion (W74),24,4,28,,15,3,18,,9,1,10,,6,1,7,,13,1,14,,10,1,11,,5,1,6,,9,1,10,,1,2,3,,8,2,10,,4,1,5
Other accidental threats to breathing (W75-W84),137,87,224,,141,89,230,,125,86,211,,136,104,240,,139,92,231,,97,79,176,,91,79,170,,119,75,194,,109,86,195,,103,60,163,,117,74,191
Accidental suffocation and strangulation in bed (W75),3,2,5,,7,4,11,,8,2,10,,5,2,7,,10,6,16,,6,11,17,,6,4,10,,7,4,11,,8,9,17,,8,4,12,,3,7,10
Other accidental hanging and strangulation (W76),12,2,14,,11,3,14,,16,4,20,,15,4,19,,15,2,17,,20,1,21,,8,3,11,,8,1,9,,13,2,15,,12,1,13,,11,0,11
"Threat to breathing due to cave-in, falling earth and other substances (W77)",0,0,0,,1,0,1,,1,0,1,,1,0,1,,2,0,2,,0,0,0,,5,0,5,,3,0,3,,0,0,0,,0,0,0,,1,0,1
Inhalation of gastric contents (W78),17,15,32,,16,10,26,,13,12,25,,13,11,24,,11,16,27,,3,9,12,,11,7,18,,11,4,15,,6,6,12,,6,6,12,,4,3,7
Inhalation and ingestion of food causing obstruction of respiratory tract (W79),38,22,60,,34,26,60,,24,21,45,,38,22,60,,33,16,49,,29,25,54,,31,24,55,,39,24,63,,32,19,51,,32,22,54,,44,18,62
Inhalation and ingestion of other objects causing obstruction of respiratory tract (W80),61,43,104,,62,44,106,,54,44,98,,60,56,116,,59,48,107,,34,28,62,,24,40,64,,44,37,81,,43,50,93,,40,26,66,,47,44,91
Confined to or trapped in a low-oxygen environment (W81),1,0,1,,1,0,1,,1,1,2,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,1,1,2,,1,0,1,,1,0,1,,2,0,2
Other specified threats to breathing (W83),2,2,4,,8,2,10,,6,0,6,,1,5,6,,6,4,10,,2,4,6,,6,1,7,,6,4,10,,5,0,5,,4,1,5,,3,2,5
Unspecified threat to breathing (W84),3,1,4,,1,0,1,,2,2,4,,2,4,6,,2,0,2,,3,1,4,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,2,0,2
"Exposure to electric current, radiation and extreme ambient air temperature and pressure (W85-W99)",14,2,16,,23,1,24,,23,0,23,,22,3,25,,15,0,15,,17,0,17,,9,3,12,,17,1,18,,13,1,14,,8,2,10,,7,1,8
Exposure to electric transmission lines (W85),4,1,5,,5,0,5,,4,0,4,,7,1,8,,5,0,5,,3,0,3,,2,1,3,,3,0,3,,3,0,3,,1,0,1,,4,0,4
Exposure to other specified electric current (W86),3,0,3,,12,0,12,,13,0,13,,10,1,11,,4,0,4,,6,0,6,,3,2,5,,11,0,11,,6,0,6,,2,1,3,,0,1,1
Exposure to unspecified electric current (W87),6,0,6,,6,1,7,,4,0,4,,3,1,4,,5,0,5,,7,0,7,,4,0,4,,3,0,3,,3,0,3,,3,1,4,,3,0,3
Exposure to ionizing radiation (W88),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Exposure to man-made visible and ultraviolet light (W89),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
Exposure to other nonionizing radiation (W90),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
